filename,time(s),input size(Mb),output size(Mb)
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u047_l.tsv,118.627880158,101.37109375,15.704302787780762
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u036_l.tsv,153.37755171,119.66796875,18.821114540100098
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u063_l.tsv,144.761692451,100.92578125,15.575264930725098
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u064_l.tsv,151.488695117,100.8671875,15.756330490112305
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u054_l.tsv,161.552625683,105.28515625,16.169072151184082
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u070_h.tsv,166.001129345,97.19140625,14.291727066040039
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u077_l.tsv,187.048686982,101.5390625,15.024140357971191
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u061_h.tsv,204.098511681,113.80078125,17.30666160583496
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u039_h.tsv,217.384483886,115.984375,18.279945373535156
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u065_l.tsv,222.708449487,120.43359375,19.202885627746582
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u003_l.tsv,130.687276843,86.7734375,11.354671478271484
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u068_h.tsv,222.570902357,112.99609375,17.597436904907227
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u120_h.tsv,185.273870771,109.953125,17.00413227081299
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u103_l.tsv,193.135849608,113.59765625,17.8491849899292
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u116_h.tsv,189.610038833,112.44140625,17.30257511138916
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u128_h.tsv,167.012088359,104.00390625,15.755783081054688
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u110_h.tsv,196.605046345,117.62109375,18.071924209594727
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u094_h.tsv,216.941949112,113.9453125,17.21918487548828
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u123_h.tsv,189.443217712,116.76171875,18.18750286102295
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u099_l.tsv,219.062790653,125.3125,19.7503080368042
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u008_h.tsv,125.580703764,102.94921875,15.525349617004395
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u007_l.tsv,156.249519637,122.23046875,19.259181022644043
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u037_l.tsv,106.076495278,90.921875,13.679234504699707
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u014_l.tsv,109.868493374,93.5078125,13.785205841064453
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u010_l.tsv,128.12828255,114.77734375,18.168620109558105
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u042_l.tsv,92.682525241,91.69921875,13.552480697631836
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u055_l.tsv,73.93816142,86.58984375,12.227230072021484
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u048_h.tsv,83.176233105,112.7421875,17.529213905334473
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u057_h.tsv,84.364655949,121.359375,19.041714668273926
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u073_h.tsv,65.931824719,95.91796875,14.289911270141602
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u095_l.tsv,66.099004768,86.74609375,12.457099914550781
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u077_h.tsv,84.469716475,104.11328125,15.974804878234863
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u104_h.tsv,79.640723519,88.9296875,12.530537605285645
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u082_h.tsv,112.875807747,125.3359375,19.815361976623535
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u112_h.tsv,99.09063489,95.43359375,13.566306114196777
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u096_l.tsv,115.4026198,105.9609375,16.259340286254883
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u122_l.tsv,108.011199858,94.859375,14.180429458618164
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u090_l.tsv,129.416013992,116.03125,18.029011726379395
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u003_l.tsv,131.870139839,95.62109375,12.77518367767334
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u097_l.tsv,158.528790641,116.0859375,18.433476448059082
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u017_l.tsv,141.801223152,96.0078125,14.045304298400879
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u009_h.tsv,152.652271078,100.1015625,14.897621154785156
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u131_h.tsv,165.519950078,101.25390625,15.623644828796387
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u127_h.tsv,170.244591542,105.375,16.655359268188477
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u035_l.tsv,157.970614628,95.79296875,14.699894905090332
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u119_h.tsv,217.11643449,126.48046875,19.980615615844727
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u011_h.tsv,194.285010466,110.63671875,16.999059677124023
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u027_l.tsv,188.540001809,108.28125,16.974173545837402
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u055_h.tsv,132.167734948,90.30078125,12.578219413757324
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u047_l.tsv,171.420084062,105.01171875,16.09860897064209
b1-02-02-2024_rd168_pmi_230802_inj1-200spd_ccri-675_u129_h.tsv,221.349080247,123.81640625,19.86360740661621
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u036_l.tsv,197.287059175,113.98046875,17.8198823928833
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u054_l.tsv,162.832138629,104.91796875,15.909160614013672
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u064_l.tsv,133.236927588,97.4921875,14.91364574432373
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u039_h.tsv,187.954462899,114.83203125,17.672926902770996
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u063_l.tsv,155.062385275,113.26953125,17.70590877532959
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u065_l.tsv,155.254666124,121.90625,19.213298797607422
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u068_h.tsv,146.279477589,118.7734375,18.706300735473633
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u070_h.tsv,116.594727373,101.09765625,15.117294311523438
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u108_l.tsv,88.753283232,87.6875,12.102302551269531
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u096_h.tsv,105.218816192,104.98046875,15.586053848266602
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u090_h.tsv,123.504710331,117.80078125,18.315994262695312
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u116_h.tsv,101.380155152,116.4375,18.40605068206787
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u099_l.tsv,109.691492582,125.08984375,19.549843788146973
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u120_h.tsv,91.229287891,117.73046875,18.596339225769043
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u128_h.tsv,78.008884931,107.55859375,16.37510395050049
b1-02-02-2024_rd168_sau_231012_inj1-200spd_ccri-9443_u123_h.tsv,88.563282004,120.42578125,18.708398818969727
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u004_l.tsv,89.218261599,111.9609375,17.6449556350708
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u002_l.tsv,101.496850512,122.91796875,19.8281192779541
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u040_l.tsv,84.968657482,92.49609375,13.51816463470459
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u020_l.tsv,103.699780548,104.3125,16.27043056488037
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u022_l.tsv,121.112938582,110.21484375,17.149285316467285
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u016_h.tsv,130.736503918,120.375,18.95286273956299
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u013_l.tsv,135.981188617,122.59375,18.832674026489258
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u046_h.tsv,127.480758926,112.640625,17.52148723602295
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u049_l.tsv,142.746180014,115.58203125,17.98392391204834
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u088_l.tsv,144.217805862,100.68359375,15.171801567077637
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u066_h.tsv,179.717165169,110.43359375,17.270584106445312
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u052_h.tsv,182.898731824,114.0703125,17.964223861694336
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u074_h.tsv,192.630352859,112.921875,17.733885765075684
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u092_h.tsv,189.655806226,108.5234375,16.519047737121582
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u111_h.tsv,191.352950362,111.640625,17.26760959625244
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u084_h.tsv,201.881529148,116.04296875,18.280113220214844
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u121_l.tsv,158.564629989,103.73046875,15.802639961242676
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u060_h.tsv,223.082610595,125.75,19.504708290100098
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u116_h.tsv,181.368806518,112.9296875,17.73873233795166
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u115_h.tsv,189.421714385,117.140625,18.63666534423828
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u114_l.tsv,200.018494136,123.26953125,19.334157943725586
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u118_h.tsv,174.88883472,118.70703125,18.867161750793457
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u123_l.tsv,164.600483174,122.7734375,19.270602226257324
b1-02-02-2024_rd168_ssa_230707_inj1-200spd_ccri-223_u124_l.tsv,148.878386824,117.66015625,18.526079177856445
